severity,category,title,mitre,artifact,count,first_utc,last_utc,detail,evidence_count,evidence
LOW,Filesystem,179 non-executable file(s) in temp / shared-memory directories,,bodyfile/bodyfile.txt,179,2021-10-11 16:03:12,2021-12-08 15:01:45,"Staged data, dropped configs and exfil archives live here too - worth eyeballing even when nothing is marked executable.",40,"-r--r--r-- /tmp/Mozi.a  uid=0 size=108808    mtime=2021-10-13 13:45:20
-rw-r--r-- /tmp/Mozi.tm  uid=1000 size=108808    mtime=2021-10-13 13:45:48
-r--r--r-- /tmp/kdevtmpfsi324024279  uid=0 size=3930448   mtime=2021-10-11 17:07:53
-r--r--r-- /tmp/kdevtmpfsi824415644  uid=0 size=3930448   mtime=2021-10-11 16:04:14
-r--r--r-- /tmp/kinsing_0FObKuVv  uid=0 size=14643200  mtime=2021-12-03 10:07:01
-r--r--r-- /tmp/kinsing_0MvzXGU4  uid=0 size=14643200  mtime=2021-11-05 08:23:34
-r--r--r-- /tmp/kinsing_0Su4eq83  uid=0 size=14643200  mtime=2021-11-26 16:45:55
-r--r--r-- /tmp/kinsing_0kz2m8a6  uid=0 size=14643200  mtime=2021-11-28 16:21:39
-r--r--r-- /tmp/kinsing_17UhT0p8  uid=0 size=14643200  mtime=2021-11-01 15:24:46
-r--r--r-- /tmp/kinsing_1URrssIh  uid=0 size=2228224   mtime=2021-10-25 18:05:01
-r--r--r-- /tmp/kinsing_1VsMIfip  uid=0 size=14643200  mtime=2021-11-03 20:14:13
-r--r--r-- /tmp/kinsing_1jx6KKeg  uid=0 size=14643200  mtime=2021-11-21 11:55:47
-r--r--r-- /tmp/kinsing_2V7JWdq1  uid=0 size=14643200  mtime=2021-11-13 02:46:25
-r--r--r-- /tmp/kinsing_2qLYISZL  uid=0 size=14643200  mtime=2021-11-18 18:07:07
-r--r--r-- /tmp/kinsing_3SE6WlZ2  uid=0 size=14643200  mtime=2021-10-30 07:08:14
-r--r--r-- /tmp/kinsing_3lCYANuv  uid=0 size=14643200  mtime=2021-11-30 16:46:58
-r--r--r-- /tmp/kinsing_3zNCARQ9  uid=0 size=14643200  mtime=2021-11-20 16:01:03
-r--r--r-- /tmp/kinsing_4hFF244v  uid=0 size=14643200  mtime=2021-11-06 00:17:56
-r--r--r-- /tmp/kinsing_5VhzMzMk  uid=0 size=14643200  mtime=2021-11-25 22:45:00
-r--r--r-- /tmp/kinsing_5m8LvY5Q  uid=0 size=14643200  mtime=2021-11-22 23:44:29
-r--r--r-- /tmp/kinsing_7770tkGk  uid=0 size=14643200  mtime=2021-12-06 04:17:53
-r--r--r-- /tmp/kinsing_78VxPxBp  uid=0 size=14643200  mtime=2021-11-17 00:22:21
-r--r--r-- /tmp/kinsing_7Q2hXcAK  uid=0 size=14643200  mtime=2021-11-06 20:43:21
-r--r--r-- /tmp/kinsing_7XWeY7K9  uid=0 size=14643200  mtime=2021-10-21 01:48:35
-r--r--r-- /tmp/kinsing_7dABuKBY  uid=0 size=14643200  mtime=2021-11-19 05:47:21
-r--r--r-- /tmp/kinsing_8Bw4eS8c  uid=0 size=14643200  mtime=2021-11-24 11:14:08
-r--r--r-- /tmp/kinsing_8FAHnLbo  uid=0 size=14643200  mtime=2021-11-26 04:46:14
-r--r--r-- /tmp/kinsing_969ghX5d  uid=0 size=925696    mtime=2021-11-30 12:17:02
-r--r--r-- /tmp/kinsing_9FLWeWAa  uid=0 size=14643200  mtime=2021-11-15 18:10:28
-r--r--r-- /tmp/kinsing_AB5OXisX  uid=0 size=14643200  mtime=2021-12-08 10:01:57
-r--r--r-- /tmp/kinsing_AOdpBwVZ  uid=0 size=14643200  mtime=2021-11-06 08:33:39
-r--r--r-- /tmp/kinsing_AoZPNX9h  uid=0 size=14643200  mtime=2021-11-08 12:13:01
-r--r--r-- /tmp/kinsing_B3aW8cQf  uid=0 size=14643200  mtime=2021-12-07 10:05:59
-r--r--r-- /tmp/kinsing_BgDyXP4x  uid=0 size=14643200  mtime=2021-11-08 20:21:24
-r--r--r-- /tmp/kinsing_BvcJQ7Si  uid=0 size=14643200  mtime=2021-10-26 13:47:38
-r--r--r-- /tmp/kinsing_C0EwLWIO  uid=0 size=14643200  mtime=2021-11-23 17:05:10
-r--r--r-- /tmp/kinsing_CPJ4F0hD  uid=0 size=14643200  mtime=2021-11-22 05:42:22
-r--r--r-- /tmp/kinsing_CXrdp9oS  uid=0 size=14643200  mtime=2021-11-06 04:28:38
-r--r--r-- /tmp/kinsing_D7J1nwC0  uid=0 size=14643200  mtime=2021-10-29 12:47:25
-r--r--r-- /tmp/kinsing_DAyjt9CO  uid=0 size=14643200  mtime=2021-11-26 08:51:17"
LOW,Integrity,Identical binaries present under different names,,hash_executables/hash_executables.md5,41,,,Usually distro alternatives/hardlinks; occasionally a copied shell hidden under a benign name.,25,"04fe07e39e9aaf0fcd6b93cb46936595 -> /usr/lib/klibc/bin/halt, /usr/lib/klibc/bin/poweroff, /usr/lib/klibc/bin/reboot
0bbfa8f8d0fb074b8c0bc1af938ab8da -> /var/lib/dpkg/info/libpam-modules:amd64.postrm, /var/lib/dpkg/info/libpam0g:amd64.postrm, /var/lib/dpkg/info/linux-base.postrm
12afd490c5c8b2b8f66da0aa97fe7839 -> /var/lib/dpkg/info/xdg-user-dirs.postinst, /var/lib/dpkg/info/xdg-user-dirs.postrm, /var/lib/dpkg/info/xdg-user-dirs.preinst, /var/lib/dpkg/info/xdg-user-dirs.prerm
15ebf29bcbf4a8943fd1542987b30a46 -> /var/lib/dpkg/info/linux-modules-5.4.0-1059-azure.postrm, /var/lib/dpkg/info/linux-modules-extra-5.4.0-1059-azure.postrm
1b6a8ec6acaa3e8d550781e1cc0f6cf5 -> /var/lib/dpkg/info/gdb.postinst, /var/lib/dpkg/info/psmisc.postinst
1baffda59041da6e201c2545cc5e3e74 -> /var/lib/dpkg/info/systemd.preinst, /var/lib/dpkg/info/systemd.prerm
2f431ae1b7a7267202ecbc67bd81fdc2 -> /var/lib/dpkg/info/git.postrm, /var/lib/dpkg/info/git.prerm
370468e5f19a306e29d39fbf7b72cf08 -> /etc/vmware-tools/poweroff-vm-default, /etc/vmware-tools/poweron-vm-default, /etc/vmware-tools/resume-vm-default, /etc/vmware-tools/suspend-vm-default
394357f5d4475af7a70976160326ac91 -> /var/lib/dpkg/info/perl.postrm, /var/lib/dpkg/info/perl.preinst
44c8c52b0c792d38c030a0b42c5a17ce -> /var/lib/dpkg/info/linux-modules-5.4.0-1062-azure.postrm, /var/lib/dpkg/info/linux-modules-extra-5.4.0-1062-azure.postrm
485c490748a6afed48e7994e45036c96 -> /usr/lib/klibc/bin/gunzip, /usr/lib/klibc/bin/gzip, /usr/lib/klibc/bin/zcat
49e0a12cbc71db3c09a6fb6a30a84782 -> /var/lib/dpkg/info/vim-tiny.postrm, /var/lib/dpkg/info/vim-tiny.preinst
5d0e769df33e016b3c52a0971e8d258c -> /var/lib/dpkg/info/liblzo2-2:amd64.postinst, /var/lib/dpkg/info/libnfnetlink0:amd64.postinst, /var/lib/dpkg/info/libxext6:amd64.postinst
66c1aae4b4d46f1ab430a7c325c9c948 -> /bin/gunzip, /bin/uncompress
6886be2d5aebb0b171fb236093854b7f -> /var/lib/dpkg/info/linux-modules-5.4.0-1064-azure.postrm, /var/lib/dpkg/info/linux-modules-extra-5.4.0-1064-azure.postrm
728124f6ec8e22fbdbe7034812c81b95 -> /boot/efi/EFI/BOOT/BOOTX64.EFI, /boot/efi/EFI/ubuntu/shimx64.efi
73b6017602ecb78c3515c680f5a83e94 -> /var/lib/dpkg/info/update-notifier-common.postrm, /var/lib/dpkg/info/update-notifier-common.preinst
797bab19dfb32a7eaee751d05dd4ad0b -> /var/lib/dpkg/info/cloud-initramfs-copymods.postinst, /var/lib/dpkg/info/cloud-initramfs-dyn-netconf.postinst, /var/lib/dpkg/info/overlayroot.postinst
7f5c754d29392d80a3638d47f50846f8 -> /var/lib/dpkg/info/hdparm.postrm, /var/lib/dpkg/info/hdparm.preinst, /var/lib/dpkg/info/hdparm.prerm
842fccad407c3a9bf49090de16bf4854 -> /var/lib/dpkg/info/vim.postrm, /var/lib/dpkg/info/vim.preinst
8741ae9d5c987e83d1f2dd3f7edd58e7 -> /var/lib/dpkg/info/bc.postrm, /var/lib/dpkg/info/info.postrm
9b2a31637b25335fc4455006d9d223a3 -> /var/lib/dpkg/info/libssl1.0.0:amd64.postrm, /var/lib/dpkg/info/libssl1.1:amd64.postrm
9b7b12ba81fb5264b515f717b0588cb8 -> /var/lib/dpkg/info/grub-efi-amd64-bin.postinst, /var/lib/dpkg/info/grub-efi-amd64-bin.postrm, /var/lib/dpkg/info/grub-efi-amd64-bin.preinst, /var/lib/dpkg/info/grub-efi-amd64-bin.prerm
9cd3e0467b502c9b675a52346a91af6d -> /bin/kill, /usr/bin/skill
a02d51d0686b790873acdb92d35ba613 -> /var/lib/dpkg/info/gdb.postrm, /var/lib/dpkg/info/psmisc.postrm"
LOW,Network,Service(s) listening on all interfaces,,live_response/network/ss_-anp.txt,2,2021-10-10 17:03:59,2021-11-19 01:36:35,,2,"tcp    LISTEN      0.0.0.0:25324            0.0.0.0:*                omsagent(pid 828)
tcp    LISTEN      *:80                     *:*                      httpd(pid 2632), httpd(pid 2539), httpd(pid 1813), httpd(pid 1693), httpd(pid 801)"
INFO,Authentication,29338 failed authentication record(s) across 515 source address(es),,"/var/log/btmp, auth.log, journal",29338,2021-11-01 06:36:43,2021-12-08 20:21:54,"Counted from btmp, auth.log and the journal. The FAILED_LOGINS table has one row per attempt with the source of each.",15,"user                     5165 failure(s)
admin                    1196 failure(s)
root                     608 failure(s)
pi                       604 failure(s)
test                     429 failure(s)
mos                      398 failure(s)
oracle                   302 failure(s)
ubuntu                   283 failure(s)
ansible                  279 failure(s)
postgres                 205 failure(s)
ftpuser                  199 failure(s)
administrator            161 failure(s)
git                      149 failure(s)
invalid                  137 failure(s)
ubnt                     107 failure(s)"
INFO,Collection,Collection metadata,,uac.log,0,2021-12-08 19:15:00,2021-12-08 19:15:00,"uname:                   Linux ApacheWebServer 5.4.0-1059-azure #62~18.04.1-Ubuntu SMP Tue Sep 14 17:53:18 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux | Host date at collection: Wed Dec  8 19:15:00 UTC 2021 | uptime:                  19:25:27 up 60 days,  4:19,  1 user,  load average: 17.72, 13.75, 12.45 | Booted at:               2021-10-09 15:06:08 | hostname:                ApacheWebServer | Collection finished:     2021-12-08 19:15:00 UTC (from `date` on the host) | Host UTC offset:         unknown - uac.log carried none, host-local log stamps read as UTC",0,
INFO,Containers,Container artifacts present,,live_response/containers,9,,,"Container runtime data was collected - the CONTAINERS table has the image, entrypoint, environment and bind mounts for each one. Host bind mounts and credentials in the environment are the two that change the blast radius.",9,"live_response/containers/containerd_config_dump.txt.stderr
live_response/containers/docker_container_ls_--all_--size.txt.stderr
live_response/containers/docker_image_ls_--all.txt.stderr
live_response/containers/docker_info.txt.stderr
live_response/containers/docker_version.txt.stderr
live_response/containers/podman_container_ls_--all_--size.txt.stderr
live_response/containers/podman_image_ls_--all.txt.stderr
live_response/containers/podman_info.txt.stderr
live_response/containers/podman_version.txt.stderr"
INFO,Filesystem,26192 filesystem entries in the bodyfile,,bodyfile/bodyfile.txt,26192,2021-09-28 16:09:17,2021-12-08 19:48:29,Full MACB timeline. Convert with mactime for a classic timeline: `mactime -b bodyfile.txt -d`.,0,
INFO,Logging,86 systemd journal file(s) collected,,[root]/var/log/journal/3f2384ad405440dc9c3469e593485d63/system.journal,86,,,Read them offline: `journalctl --file <path> -o short-iso`. Rotated files ending in ~ are previous boots.,20,"/var/log/journal/3f2384ad405440dc9c3469e593485d63/system.journal
/var/log/journal/3f2384ad405440dc9c3469e593485d63/system@00000000000000000000000000000000-00000000038ea7a2-0005d2a5149e1291.journal
/var/log/journal/3f2384ad405440dc9c3469e593485d63/system@00000000000000000000000000000000-00000000038ef812-0005d2a5340db2eb.journal
/var/log/journal/3f2384ad405440dc9c3469e593485d63/system@00000000000000000000000000000000-00000000038f4134-0005d2a54a1c5b2b.journal
/var/log/journal/3f2384ad405440dc9c3469e593485d63/system@00000000000000000000000000000000-00000000038f4ee1-0005d2a552a37d7b.journal
/var/log/journal/3f2384ad405440dc9c3469e593485d63/system@00000000000000000000000000000000-00000000038f5754-0005d2a5557cc1ec.journal
/var/log/journal/3f2384ad405440dc9c3469e593485d63/system@00000000000000000000000000000000-00000000038f5bf6-0005d2a557161b27.journal
/var/log/journal/3f2384ad405440dc9c3469e593485d63/system@00000000000000000000000000000000-00000000038f6342-0005d2a559c5c9be.journal
/var/log/journal/3f2384ad405440dc9c3469e593485d63/system@00000000000000000000000000000000-00000000038f65d8-0005d2a55a8c1fd1.journal
/var/log/journal/3f2384ad405440dc9c3469e593485d63/system@00000000000000000000000000000000-00000000038f944c-0005d2a56affeb65.journal
/var/log/journal/3f2384ad405440dc9c3469e593485d63/system@00000000000000000000000000000000-00000000038fb0c1-0005d2a57fcee496.journal
/var/log/journal/3f2384ad405440dc9c3469e593485d63/system@00000000000000000000000000000000-00000000038fe4ca-0005d2a599273fa1.journal
/var/log/journal/3f2384ad405440dc9c3469e593485d63/system@00000000000000000000000000000000-00000000038fe721-0005d2a599c84662.journal
/var/log/journal/3f2384ad405440dc9c3469e593485d63/system@00000000000000000000000000000000-00000000038fe91a-0005d2a59a312770.journal
/var/log/journal/3f2384ad405440dc9c3469e593485d63/system@00000000000000000000000000000000-0000000003900e96-0005d2a5a90927c7.journal
/var/log/journal/3f2384ad405440dc9c3469e593485d63/system@00000000000000000000000000000000-000000000390221d-0005d2a5b5382c25.journal
/var/log/journal/3f2384ad405440dc9c3469e593485d63/system@00000000000000000000000000000000-0000000003903821-0005d2a5c10cbdc7.journal
/var/log/journal/3f2384ad405440dc9c3469e593485d63/system@00000000000000000000000000000000-0000000003903a07-0005d2a5c186d87b.journal
/var/log/journal/3f2384ad405440dc9c3469e593485d63/system@00000000000000000000000000000000-0000000003907a03-0005d2a5d981f5a5.journal
/var/log/journal/3f2384ad405440dc9c3469e593485d63/system@00000000000000000000000000000000-0000000003907d8d-0005d2a5da2969e0.journal"
INFO,Persistence,22 cron/at definition file(s) collected,,[root]/etc/cron*,22,,,,22,"/etc/cron.d/OMSConsistencyInvoker
/etc/cron.d/mdadm
/etc/cron.d/omilogrotate
/etc/cron.d/omsagent
/etc/cron.d/popularity-contest
/etc/cron.d/scxagent
/etc/cron.daily/apport
/etc/cron.daily/apt-compat
/etc/cron.daily/aptitude
/etc/cron.daily/bsdmainutils
/etc/cron.daily/dpkg
/etc/cron.daily/logrotate
/etc/cron.daily/man-db
/etc/cron.daily/mdadm
/etc/cron.daily/mlocate
/etc/cron.daily/passwd
/etc/cron.daily/popularity-contest
/etc/cron.daily/update-notifier-common
/etc/cron.weekly/man-db
/etc/cron.weekly/update-notifier-common
/etc/crontab
/var/spool/cron/crontabs/root"
INFO,Persistence,systemd timers,,live_response/system/systemctl_list-timers_--all.txt,9,,,,10,"NEXT                         LEFT          LAST                         PASSED       UNIT                         ACTIVATES
Wed 2021-12-08 20:50:47 UTC  1h 26min left Wed 2021-12-08 05:18:44 UTC  14h ago      motd-news.timer              motd-news.service
Wed 2021-12-08 22:14:08 UTC  2h 49min left Wed 2021-12-08 17:40:27 UTC  1h 44min ago apt-daily.timer              apt-daily.service
Thu 2021-12-09 03:16:07 UTC  7h left       Wed 2021-12-08 15:49:21 UTC  3h 35min ago ua-messaging.timer           ua-messaging.service
Thu 2021-12-09 06:27:06 UTC  11h left      Wed 2021-12-08 06:21:52 UTC  13h ago      apt-daily-upgrade.timer      apt-daily-upgrade.service
Thu 2021-12-09 15:31:00 UTC  20h left      Wed 2021-12-08 15:31:00 UTC  3h 53min ago systemd-tmpfiles-clean.timer systemd-tmpfiles-clean.service
Mon 2021-12-13 00:00:00 UTC  4 days left   Mon 2021-12-06 00:00:00 UTC  2 days ago   fstrim.timer                 fstrim.service
n/a                          n/a           n/a                          n/a          snapd.snap-repair.timer      snapd.snap-repair.service
n/a                          n/a           n/a                          n/a          ureadahead-stop.timer        ureadahead-stop.service
8 timers listed."
INFO,Process,19 process(es) started within 72h of collection,,live_response/process/running_processes_full_paths.txt,19,2021-12-08 15:49:39,2021-12-08 18:51:34,,19,"2021-12-08 15:49:39  pid 22463   root       [kworker/0:1-cgr]
2021-12-08 16:12:06  pid 4092    root       sshd: azureuser [priv]
2021-12-08 16:12:25  pid 4204    azureus+   sshd: azureuser@pts/0
2021-12-08 16:12:25  pid 4205    azureus+   -bash
2021-12-08 16:17:57  pid 9303    root       sudo su
2021-12-08 16:17:57  pid 9314    root       su
2021-12-08 16:17:59  pid 9331    root       bash
2021-12-08 16:54:37  pid 494     root       /opt/microsoft/auoms/bin/auomscollect -n
2021-12-08 17:28:38  pid 19986   root       [kworker/u2:3-ev]
2021-12-08 17:45:08  pid 28904   root       [kworker/0:0-eve]
2021-12-08 18:19:36  pid 17280   root       [kworker/u2:1-ev]
2021-12-08 18:42:23  pid 32156   root       [kworker/u2:2-ev]
2021-12-08 18:49:09  pid 4674    root       [kworker/u2:0-ev]
2021-12-08 18:50:45  pid 6388    daemon     sleep 300
2021-12-08 18:50:50  pid 6445    root       /bin/sh ./uac -p full -o linux output
2021-12-08 18:51:07  pid 6803    daemon     sleep 30
2021-12-08 18:51:09  pid 6830    daemon     sleep 30
2021-12-08 18:51:16  pid 6991    root       /bin/sh ./uac -p full -o linux output
2021-12-08 18:51:34  pid 7746    root       ps -eo pid,user,lstart,args"
INFO,Remote Access,"sshd configuration reviewed, nothing permissive found",,[root]/etc/ssh/sshd_config,8,,,Only the non-default (uncommented) directives are listed.,8,"PasswordAuthentication no
ChallengeResponseAuthentication no
UsePAM yes
X11Forwarding yes
PrintMotd no
AcceptEnv LANG LC_*
Subsystem	sftp	/usr/lib/openssh/sftp-server
ClientAliveInterval 120"
HIGH,Detection,Offensive tool referenced: masscan,,WEB_LOG,13,2021-10-19 14:16:03,2021-12-05 18:59:33,scanning and exploitation - seen in WEB_LOG (command) x13,4,"WEB_LOG user_agent: masscan/1.3 (https://github.com/robertdavidgraham/masscan)
WEB_LOG user_agent: masscan/1.0 (https://github.com/robertdavidgraham/masscan)
WEB_LOG user_agent: masscan/1.0 (https://github.com/robertdavidgraham/masscan)
WEB_LOG user_agent: masscan/1.0 (https://github.com/robertdavidgraham/masscan)"
HIGH,Detection,Offensive tool referenced: nmap,,WEB_LOG,2,2021-12-01 19:22:41,2021-12-01 19:22:42,scanning and exploitation - seen in WEB_LOG (command) x2,2,"WEB_LOG user_agent: Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
WEB_LOG user_agent: Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
HIGH,Detection,Offensive tool referenced: xmrig,,"JOURNAL, VAR_LOG",477,2021-12-01 03:57:46,2021-12-08 20:04:17,cryptomining - seen in JOURNAL (text) x464; VAR_LOG (text) x13,8,"JOURNAL message: EXECVE argc=3 a0=""pkill"" a1=""-9"" a2=""xmrig""
JOURNAL message: EXECVE argc=3 a0=""pkill"" a1=""-9"" a2=""xmrig""
JOURNAL message: EXECVE argc=3 a0=""pkill"" a1=""-9"" a2=""xmrig""
JOURNAL message: EXECVE argc=3 a0=""pkill"" a1=""-9"" a2=""xmrig""
VAR_LOG message: [4904453.754820] audit: type=1309 audit(1638696421.347:15129196): argc=3 a0=""pkill"" a1=""-9"" a2=""xmrig""
VAR_LOG message: [5008328.133007] audit: type=1309 audit(1638800295.725:15786585): argc=3 a0=""pkill"" a1=""-9"" a2=""xmrig""
VAR_LOG message: [5008328.239136] audit: type=1309 audit(1638800295.833:15786586): argc=3 a0=""pkill"" a1=""-9"" a2=""xmrig""
VAR_LOG message: [5109130.296539] audit: type=1309 audit(1638901097.882:16421345): argc=3 a0=""pkill"" a1=""-9"" a2=""xmrig"""
