rule,level,product,service_or_category,applicable,why_not,tables_checked,rows_matched,rule_id,rule_file
Shell Execution via Find - Linux,high,linux,process_creation,yes,,PROCESSES,0,6adfbf8f-52be-4444-9bac-81b539624146,sigma-rules/rules\linux\process_creation\proc_creation_lnx_find_shell_execution.yml
Shell Execution via Flock - Linux,high,linux,process_creation,yes,,PROCESSES,0,4b09c71e-4269-4111-9cdd-107d8867f0cc,sigma-rules/rules\linux\process_creation\proc_creation_lnx_flock_shell_execution.yml
Shell Execution GCC  - Linux,high,linux,process_creation,yes,,PROCESSES,0,9b5de532-a757-4d70-946c-1f3e44f48b4d,sigma-rules/rules\linux\process_creation\proc_creation_lnx_gcc_shell_execution.yml
Shell Execution via Git - Linux,high,linux,process_creation,no,no table here has the fields this rule reads,,0,47b3bbd4-1bf7-48cc-84ab-995362aaa75a,sigma-rules/rules\linux\process_creation\proc_creation_lnx_git_shell_execution.yml
OS Architecture Discovery Via Grep,low,linux,process_creation,yes,,PROCESSES,0,d27ab432-2199-483f-a297-03633c05bae6,sigma-rules/rules\linux\process_creation\proc_creation_lnx_grep_os_arch_discovery.yml
Group Has Been Deleted Via Groupdel,medium,linux,process_creation,yes,,"PROCESSES, PROCESS_MASTER",0,8a46f16c-8c4c-82d1-b121-0fdd3ba70a84,sigma-rules/rules\linux\process_creation\proc_creation_lnx_groupdel.yml
Install Root Certificate,low,linux,process_creation,yes,,"PROCESSES, PROCESS_MASTER",0,78a80655-a51e-4669-bc6b-e9d206a462ee,sigma-rules/rules\linux\process_creation\proc_creation_lnx_install_root_certificate.yml
Suspicious Package Installed - Linux,medium,linux,process_creation,yes,,PROCESSES,0,700fb7e8-2981-401c-8430-be58e189e741,sigma-rules/rules\linux\process_creation\proc_creation_lnx_install_suspicious_packages.yml
Flush Iptables Ufw Chain,medium,linux,process_creation,yes,,PROCESSES,0,3be619f4-d9ec-4ea8-a173-18fdd01996ab,sigma-rules/rules\linux\process_creation\proc_creation_lnx_iptables_flush_ufw.yml
Local System Accounts Discovery - Linux,low,linux,process_creation,yes,,"PROCESSES, PROCESS_MASTER",0,b45e3d6f-42c6-47d8-a478-df6bd6cf534c,sigma-rules/rules\linux\process_creation\proc_creation_lnx_local_account.yml
Local Groups Discovery - Linux,low,linux,process_creation,yes,,"PROCESSES, PROCESS_MASTER",0,676381a6-15ca-4d73-a9c8-6a22e970b90d,sigma-rules/rules\linux\process_creation\proc_creation_lnx_local_groups.yml
Potential GobRAT File Discovery Via Grep,high,linux,process_creation,yes,,PROCESSES,0,e34cfa0c-0a50-4210-9cb3-5632d08eb041,sigma-rules/rules\linux\process_creation\proc_creation_lnx_malware_gobrat_grep_payload_discovery.yml
Named Pipe Created Via Mkfifo,low,linux,process_creation,yes,,"PROCESSES, PROCESS_MASTER",0,9d779ce8-5256-4b13-8b6f-b91c602b43f4,sigma-rules/rules\linux\process_creation\proc_creation_lnx_mkfifo_named_pipe_creation.yml
Potentially Suspicious Named Pipe Created Via Mkfifo,medium,linux,process_creation,yes,,PROCESSES,0,999c3b12-0a8c-40b6-8e13-dd7d62b75c7a,sigma-rules/rules\linux\process_creation\proc_creation_lnx_mkfifo_named_pipe_creation_susp_location.yml
Mount Execution With Hidepid Parameter,medium,linux,process_creation,yes,,PROCESSES,0,ec52985a-d024-41e3-8ff6-14169039a0b3,sigma-rules/rules\linux\process_creation\proc_creation_lnx_mount_hidepid.yml
Potential Netcat Reverse Shell Execution,high,linux,process_creation,yes,,PROCESSES,0,7f734ed0-4f47-46c0-837f-6ee62505abd9,sigma-rules/rules\linux\process_creation\proc_creation_lnx_netcat_reverse_shell.yml
Shell Execution via Nice - Linux,high,linux,process_creation,yes,,PROCESSES,0,093d68c7-762a-42f4-9f46-95e79142571a,sigma-rules/rules\linux\process_creation\proc_creation_lnx_nice_shell_execution.yml
Nohup Execution,medium,linux,process_creation,yes,,"PROCESSES, PROCESS_MASTER",0,e4ffe466-6ff8-48d4-94bd-e32d1a6061e2,sigma-rules/rules\linux\process_creation\proc_creation_lnx_nohup.yml
Suspicious Nohup Execution,high,linux,process_creation,yes,,PROCESSES,0,457df417-8b9d-4912-85f3-9dbda39c3645,sigma-rules/rules\linux\process_creation\proc_creation_lnx_nohup_susp_execution.yml
OMIGOD SCX RunAsProvider ExecuteScript,high,linux,process_creation,no,no table here has the fields this rule reads,,0,6eea1bf6-f8d2-488a-a742-e6ef6c1b67db,sigma-rules/rules\linux\process_creation\proc_creation_lnx_omigod_scx_runasprovider_executescript.yml
OMIGOD SCX RunAsProvider ExecuteShellCommand,high,linux,process_creation,no,no table here has the fields this rule reads,,0,21541900-27a9-4454-9c4c-3f0a4240344a,sigma-rules/rules\linux\process_creation\proc_creation_lnx_omigod_scx_runasprovider_executeshellcommand.yml
Potential Perl Reverse Shell Execution,high,linux,process_creation,yes,,PROCESSES,0,259df6bc-003f-4306-9f54-4ff1a08fa38e,sigma-rules/rules\linux\process_creation\proc_creation_lnx_perl_reverse_shell.yml
Potential PHP Reverse Shell,high,linux,process_creation,yes,,PROCESSES,0,c6714a24-d7d5-4283-a36b-3ffd091d5f7e,sigma-rules/rules\linux\process_creation\proc_creation_lnx_php_reverse_shell.yml
Pnscan Binary Data Transmission Activity,medium,linux,process_creation,yes,,PROCESSES,0,97de11cd-4b67-4abf-9a8b-1020e670aa9e,sigma-rules/rules\linux\process_creation\proc_creation_lnx_pnscan_binary_cli_pattern.yml
Connection Proxy,low,linux,process_creation,yes,,PROCESSES,0,72f4ab3f-787d-495d-a55d-68c2ff46cf4c,sigma-rules/rules\linux\process_creation\proc_creation_lnx_proxy_connection.yml
PUA - TruffleHog Execution - Linux,medium,linux,process_creation,yes,,"PROCESSES, PROCESS_MASTER",0,d7a650c4-226c-451e-948f-cc490db506aa,sigma-rules/rules\linux\process_creation\proc_creation_lnx_pua_trufflehog.yml
Python One-Liners with Base64 Decoding - Linux,high,linux,process_creation,yes,,PROCESSES,0,55e862a8-dd9c-4651-807a-f21fcad56716,sigma-rules/rules\linux\process_creation\proc_creation_lnx_python_base64_encoded_execution.yml
Python WebServer Execution - Linux,medium,linux,process_creation,yes,,PROCESSES,0,3f0f5957-04f8-4792-ad89-192b0303bde6,sigma-rules/rules\linux\process_creation\proc_creation_lnx_python_http_server_execution.yml
Python Spawning Pretty TTY Via PTY Module,medium,linux,process_creation,yes,,PROCESSES,0,c4042d54-110d-45dd-a0e1-05c47822c937,sigma-rules/rules\linux\process_creation\proc_creation_lnx_python_pty_spawn.yml
Python Reverse Shell Execution Via PTY And Socket Modules,high,linux,process_creation,yes,,PROCESSES,0,32e62bc7-3de0-4bb1-90af-532978fe42c0,sigma-rules/rules\linux\process_creation\proc_creation_lnx_python_reverse_shell.yml
Inline Python Execution - Spawn Shell Via OS System Library,high,linux,process_creation,yes,,PROCESSES,0,2d2f44ff-4611-4778-a8fc-323a0e9850cc,sigma-rules/rules\linux\process_creation\proc_creation_lnx_python_shell_os_system.yml
Remote Access Tool - Team Viewer Session Started On Linux Host,low,linux,process_creation,no,no table here has the fields this rule reads,,0,1f6b8cd4-3e60-47cc-b282-5aa1cbc9182d,sigma-rules/rules\linux\process_creation\proc_creation_lnx_remote_access_tools_teamviewer_incoming_connection.yml
Linux Remote System Discovery,low,linux,process_creation,yes,,PROCESSES,0,11063ec2-de63-4153-935e-b1a8b9e616f1,sigma-rules/rules\linux\process_creation\proc_creation_lnx_remote_system_discovery.yml
Linux Package Uninstall,low,linux,process_creation,yes,,PROCESSES,0,95d61234-7f56-465c-6f2d-b562c6fedbc4,sigma-rules/rules\linux\process_creation\proc_creation_lnx_remove_package.yml
Shell Execution via Rsync - Linux,high,linux,process_creation,yes,,PROCESSES,0,e2326866-609f-4015-aea9-7ec634e8aa04,sigma-rules/rules\linux\process_creation\proc_creation_lnx_rsync_shell_execution.yml
Suspicious Invocation of Shell via Rsync,high,linux,process_creation,no,no table here has the fields this rule reads,,0,297241f3-8108-4b3a-8c15-2dda9f844594,sigma-rules/rules\linux\process_creation\proc_creation_lnx_rsync_shell_spawn.yml
Potential Ruby Reverse Shell,medium,linux,process_creation,yes,,PROCESSES,0,b8bdac18-c06e-4016-ac30-221553e74f59,sigma-rules/rules\linux\process_creation\proc_creation_lnx_ruby_reverse_shell.yml
Scheduled Cron Task/Job - Linux,medium,linux,process_creation,yes,,PROCESSES,0,6b14bac8-3e3a-4324-8109-42f0546a347f,sigma-rules/rules\linux\process_creation\proc_creation_lnx_schedule_task_job_cron.yml
Security Software Discovery - Linux,low,linux,process_creation,yes,,PROCESSES,0,c9d8b7fd-78e4-44fe-88f6-599135d46d60,sigma-rules/rules\linux\process_creation\proc_creation_lnx_security_software_discovery.yml
Disabling Security Tools,medium,linux,process_creation,yes,,PROCESSES,0,e3a8a052-111f-4606-9aee-f28ebeb76776,sigma-rules/rules\linux\process_creation\proc_creation_lnx_security_tools_disabling.yml
Disable Or Stop Services,medium,linux,process_creation,yes,,PROCESSES,0,de25eeb8-3655-4643-ac3a-b662d3f26b6b,sigma-rules/rules\linux\process_creation\proc_creation_lnx_services_stop_and_disable.yml
Setuid and Setgid,low,linux,process_creation,yes,,PROCESSES,0,c21c4eaa-ba2e-419a-92b2-8371703cbe21,sigma-rules/rules\linux\process_creation\proc_creation_lnx_setgid_setuid.yml
Shell Invocation Via Ssh - Linux,high,linux,process_creation,yes,,PROCESSES,0,8737b7f6-8df3-4bb7-b1da-06019b99b687,sigma-rules/rules\linux\process_creation\proc_creation_lnx_ssh_shell_execution.yml
Potential Linux Amazon SSM Agent Hijacking,medium,linux,process_creation,yes,,PROCESSES,0,f9b3edc5-3322-4fc7-8aa3-245d646cc4b7,sigma-rules/rules\linux\process_creation\proc_creation_lnx_ssm_agent_abuse.yml
Container Residence Discovery Via Proc Virtual FS,low,linux,process_creation,yes,,PROCESSES,0,746c86fb-ccda-4816-8997-01386263acc4,sigma-rules/rules\linux\process_creation\proc_creation_lnx_susp_container_residence_discovery.yml
Suspicious Curl File Upload - Linux,medium,linux,process_creation,yes,,PROCESSES,0,00b90cc1-17ec-402c-96ad-3a8117d7a582,sigma-rules/rules\linux\process_creation\proc_creation_lnx_susp_curl_fileupload.yml
Suspicious Curl Change User Agents - Linux,medium,linux,process_creation,yes,,PROCESSES,0,b86d356d-6093-443d-971c-9b07db583c68,sigma-rules/rules\linux\process_creation\proc_creation_lnx_susp_curl_useragent.yml
Docker Container Discovery Via Dockerenv Listing,low,linux,process_creation,yes,,PROCESSES,0,11701de9-d5a5-44aa-8238-84252f131895,sigma-rules/rules\linux\process_creation\proc_creation_lnx_susp_dockerenv_recon.yml
Process Execution From Shared Memory Directory,high,linux,process_creation,yes,,"PROCESSES, PROCESS_MASTER",0,5cd16c8f-44a6-4654-81e7-a84d6db507d4,sigma-rules/rules\linux\process_creation\proc_creation_lnx_susp_exec_from_dev_shm.yml
Potentially Suspicious Execution From Tmp Folder,medium,linux,process_creation,yes,,"PROCESSES, PROCESS_MASTER",2,312b42b1-bded-4441-8b58-163a3af58775,sigma-rules/rules\linux\process_creation\proc_creation_lnx_susp_execution_tmp_folder.yml
Potential Discovery Activity Using Find - Linux,medium,linux,process_creation,yes,,PROCESSES,0,8344c0e5-5783-47cc-9cf9-a0f7fd03e6cf,sigma-rules/rules\linux\process_creation\proc_creation_lnx_susp_find_execution.yml
Suspicious Git Clone - Linux,medium,linux,process_creation,yes,,PROCESSES,0,cfec9d29-64ec-4a0f-9ffe-0fdb856d5446,sigma-rules/rules\linux\process_creation\proc_creation_lnx_susp_git_clone.yml
History File Deletion,high,linux,process_creation,yes,,PROCESSES,0,1182f3b3-e716-4efa-99ab-d2685d04360f,sigma-rules/rules\linux\process_creation\proc_creation_lnx_susp_history_delete.yml
Print History File Contents,medium,linux,process_creation,yes,,PROCESSES,0,d7821ff1-4527-4e33-9f84-d0d57fa2fb66,sigma-rules/rules\linux\process_creation\proc_creation_lnx_susp_history_recon.yml
Linux HackTool Execution,high,linux,process_creation,yes,,"PROCESSES, PROCESS_MASTER",0,a015e032-146d-4717-8944-7a1884122111,sigma-rules/rules\linux\process_creation\proc_creation_lnx_susp_hktl_execution.yml
Potential Container Discovery Via Inodes Listing,low,linux,process_creation,yes,,PROCESSES,0,43e26eb5-cd58-48d1-8ce9-a273f5d298d8,sigma-rules/rules\linux\process_creation\proc_creation_lnx_susp_inod_listing.yml
Interactive Bash Suspicious Children,medium,linux,process_creation,no,no table here has the fields this rule reads,,0,ea3ecad2-db86-4a89-ad0b-132a10d2db55,sigma-rules/rules\linux\process_creation\proc_creation_lnx_susp_interactive_bash.yml
Suspicious Java Children Processes,high,linux,process_creation,no,no table here has the fields this rule reads,,0,d292e0af-9a18-420c-9525-ec0ac3936892,sigma-rules/rules\linux\process_creation\proc_creation_lnx_susp_java_children.yml
Linux Network Service Scanning Tools Execution,low,linux,process_creation,yes,,"PROCESSES, PROCESS_MASTER",0,3e102cd9-a70d-4a7a-9508-403963092f31,sigma-rules/rules\linux\process_creation\proc_creation_lnx_susp_network_utilities_execution.yml
Linux Shell Pipe to Shell,medium,linux,process_creation,yes,,PROCESSES,0,880973f3-9708-491c-a77b-2a35a1921158,sigma-rules/rules\linux\process_creation\proc_creation_lnx_susp_pipe_shell.yml
Access of Sudoers File Content,medium,linux,process_creation,yes,,PROCESSES,0,0f79c4d2-4e1f-4683-9c36-b5469a665e06,sigma-rules/rules\linux\process_creation\proc_creation_lnx_susp_process_reading_sudoers.yml
Linux Recon Indicators,high,linux,process_creation,yes,,PROCESSES,0,0cf7a157-8879-41a2-8f55-388dd23746b7,sigma-rules/rules\linux\process_creation\proc_creation_lnx_susp_recon_indicators.yml
Script Interpreter Spawning Credential Scanner - Linux,high,linux,process_creation,no,no table here has the fields this rule reads,,0,f0025a69-e1b7-4dda-a53c-db21fa2d4071,sigma-rules/rules\linux\process_creation\proc_creation_lnx_susp_script_interpretor_spawn_credential_scanner.yml
Potential Suspicious Change To Sensitive/Critical Files,medium,linux,process_creation,yes,,PROCESSES,0,86157017-c2b1-4d4a-8c33-93b8e67e4af4,sigma-rules/rules\linux\process_creation\proc_creation_lnx_susp_sensitive_file_access.yml
Shell Execution Of Process Located In Tmp Directory,high,linux,process_creation,no,no table here has the fields this rule reads,,0,2fade0b6-7423-4835-9d4f-335b39b83867,sigma-rules/rules\linux\process_creation\proc_creation_lnx_susp_shell_child_process_from_parent_tmp_folder.yml
Execution Of Script Located In Potentially Suspicious Directory,medium,linux,process_creation,yes,,PROCESSES,0,30bcce26-51c5-49f2-99c8-7b59e3af36c7,sigma-rules/rules\linux\process_creation\proc_creation_lnx_susp_shell_script_exec_from_susp_location.yml
System Information Discovery,informational,linux,process_creation,yes,,"PROCESSES, PROCESS_MASTER",0,42df45e7-e6e9-43b5-8f26-bec5b39cc239,sigma-rules/rules\linux\process_creation\proc_creation_lnx_system_info_discovery.yml
